B,Delta,h,Sigma_D_D,Sigma_D_h,tau_sf_inv,tau_so_inv,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
-200.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0060025949531004,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-198.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0038247111685952,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-196.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0076367692893011,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-194.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0080007652504896,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-192.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0047324165780818,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-190.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0061853544315165,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-188.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0118128233711956,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-186.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.010359885517755,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-184.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0061853544315165,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-182.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,0.9987409516772202,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-180.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.017077819345337,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-178.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0096349395866906,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-176.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0110863544444753,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-174.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0067290638798148,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-172.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0132657612246307,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-170.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0132657612246307,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-168.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0063665909142825,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-166.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0110863544444753,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-164.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.008363238216022,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-162.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0060025949531004,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-160.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0098161760694566,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-158.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.005458885504802,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-156.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0096349395866906,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-154.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0058213584703344,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-152.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0154436450091358,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-150.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0156248814919018,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-148.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0038247111685952,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-146.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0078180057720674,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-144.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0110863544444753,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-142.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0038247111685952,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-140.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.008544474698788,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-138.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,0.9996486570867008,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-136.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0179855247548233,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-134.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0154436450091358,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-132.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0141734666341171,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-130.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.008363238216022,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-128.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0021905368323942,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-126.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0099974125522226,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-124.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0156248814919018,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
