B,Delta,h,Sigma_D_D,Sigma_D_h,Sigma_h_h,tau_sf_inv,tau_so_inv,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
-200.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9253183576562284,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-198.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.8924008868624483,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-196.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9104860754622766,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-194.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9032520000223458,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-192.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9195286697621904,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-190.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9045143219111926,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-188.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9175380852451608,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-186.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9287533297191484,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-184.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9235098387962448,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-182.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9338147549850055,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-180.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9108441379211316,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-178.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9475607120919218,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-176.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9435856119131004,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-174.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9180842822162976,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-172.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9347190144149972,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-170.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9370737302461148,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-168.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.928031135946203,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-166.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9444898713430918,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-164.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9623929942858735,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-162.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9544367250729952,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-160.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.946838518318974,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-158.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9631151880588188,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-156.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9560631782759322,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-154.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9670963570928732,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-152.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9502734903818943,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-150.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9475607120919218,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-148.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9745124981898504,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-146.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.961488734855882,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-144.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9817465736297812,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-142.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9835550924897644,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-140.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9853636113497454,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-138.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9887985834126656,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-136.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.98120644551388,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-134.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.97071339481284,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-132.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.98120644551388,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-130.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.979938054769798,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-128.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9880763896397204,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-126.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9849994800356552,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-124.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-122.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9875362615238188,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-120.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.993684011876714,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-118.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.993866077533758,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-116.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-114.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9922335554755858,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-112.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-110.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-108.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-106.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-104.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-102.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-100.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-98.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-96.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-94.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-92.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-90.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.988258455296764,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-88.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.99820530902667,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
