bpar	lockin_1_ResX	lockin_2_ResX	lockin_3_ResX
0.15	438.752	232.548	95.2934
0.147	438.93	224.77	95.0028
0.144	432.314	236.631	97.834
0.141	437.262	226.201	88.2228
0.138	427.904	229.866	94.1982
0.135	424.089	230.194	88.2526
0.132	425.639	212.342	85.8759
0.129	428.023	231.923	95.2785
0.126	415.387	216.515	88.4314
0.123	402.989	214.22	82.4709
0.12	388.922	193.895	81.86
0.117	384.094	211.419	82.4784
0.114	375.511	191.183	70.0955
0.111	376.226	180.394	72.8299
0.108	352.444	174.672	68.4713
0.105	348.033	173.301	60.1935
0.102	330.748	161.977	49.2188
0.099	332.655	150.801	41.2019
0.096	325.622	156.404	42.8336
0.093	316.801	129.283	36.3442
0.09	312.628	121.356	28.6327
0.087	308.396	103.772	36.3516
0.084	306.429	105.352	26.405
0.081	290.396	104.487	24.3114
0.078	297.608	78.8872	11.6379
0.075	275.793	57.6081	15.0651
0.072	272.455	61.6913	9.79012
0.069	271.918	46.9985	-4.7535
0.066	270.19	39.0711	3.6955
0.063	248.374	40.591	-3.91158
0.06	234.784	27.3288	3.28572
0.057	225.247	37.0743	-4.37352
0.054	196.1	1.72854	2.90574
0.051	195.147	-0.715259	4.48528
0.048	185.252	8.07649	1.48267
0.045	148.059	0.625852	-2.30969
0.042	149.132	7.45061	1.05799
0.039	139.714	-5.69227	-3.03985
0.036	120.64	3.57629	3.35278
0.033	115.037	-3.78491	0.923876
0.03	-3.09946	-6.22871	1.38582
0.027	-1.72854	1.1921	0.551347
0.024	-2.08618	-0.59605	4.47038
0.021	-6.31812	-1.54973	-0.0521543
0.018	-2.08618	2.47361	-2.30224
0.015	4.05314	4.88761	0.216068
0.012	-3.57629	5.00682	2.52576
0.00899999999999998	0.0	-9.14937	-2.82378
0.00599999999999998	0.655655	0.536445	6.13931
0.003	-0.298025	8.16589	3.09946
0.0	5.00682	-3.7253	2.15323
-0.003	10.1925	-4.88761	-0.767413
-0.00600000000000001	-6.0201	11.5932	2.3246
-0.00900000000000001	-6.97377	-4.85781	3.91903
-0.012	-3.15906	10.4607	6.6683
-0.015	3.39748	4.97702	4.41077
-0.018	-1.66894	-5.66247	3.12926
-0.021	-2.80143	0.327827	-5.00682
-0.024	0.298025	-3.01005	-1.92971
-0.027	-0.23842	11.0269	-5.58051
-0.03	1.1921	-2.20539	-2.63752
-0.033	0.35763	3.21867	3.56884
-0.036	-0.476841	-3.75511	1.24425
-0.039	2.3246	9.92423	0.0745063
-0.042	-2.3246	-11.8912	2.01912
-0.045	0.0	-4.61939	1.00584
-0.048	-2.4438	-4.44058	5.21544
-0.051	-0.417234	3.03985	0.841919
-0.054	-2.26499	-0.953682	0.938777
-0.057	-3.33787	2.65242	3.31552
-0.06	5.00682	11.772	-7.51766
-0.063	-4.41077	-1.93717	3.75511
-0.066	-6.25852	-3.15906	3.40493
-0.069	35.1074	11.3845	4.55233
-0.072	126.661	-5.21544	-2.22774
-0.075	139.178	1.07289	-4.49273
-0.078	154.079	9.80502	-4.37352
-0.081	187.04	-3.30807	7.07063
-0.084	202.657	-2.71203	2.21284
-0.087	239.016	28.1931	5.20798
-0.09	235.558	35.465	-3.10691
-0.093	251.414	41.4255	1.34856
-0.096	275.018	60.0519	0.908974
-0.099	272.634	46.2832	6.44478
-0.102	286.283	72.3009	5.23779
-0.105	284.554	103.057	23.2236
-0.108	299.575	112.355	23.544
-0.111	298.204	118.733	21.4876
-0.114	321.986	140.072	36.0163
-0.117	331.404	133.515	45.4413
-0.12	344.874	138.164	47.9149
-0.123	354.948	162.185	54.6949
-0.126	363.054	175.596	53.7487
-0.129	378.789	180.633	64.0904
-0.132	375.928	196.786	79.4162
-0.135	380.876	205.101	74.469
-0.138	395.24	214.429	76.9724
-0.141	404.062	222.445	88.2824
-0.144	414.731	243.575	87.2468
-0.147	439.169	226.022	96.8059
-0.15	444.116	224.353	93.7437
