bpar	lockin_1_ResX	lockin_3_ResX
0.15	2049.7	44.2641
0.147	2054.23	44.6627
0.144	2050.89	44.8267
0.141	2047.55	42.7703
0.138	2045.17	41.6974
0.135	2040.16	42.8746
0.132	2043.02	45.3817
0.129	2049.7	39.7901
0.126	2048.98	40.1887
0.123	2041.35	38.4154
0.12	2035.16	34.2468
0.117	2039.69	37.1451
0.114	2038.73	34.0233
0.111	2031.58	35.7183
0.108	2036.35	32.6412
0.105	2035.63	31.3076
0.102	2032.29	27.6269
0.099	2027.29	23.1789
0.096	2028.24	21.1411
0.093	2022.04	14.253
0.09	2030.86	15.4861
0.087	2024.19	8.46019
0.084	2024.43	3.58374
0.081	2009.17	5.23406
0.078	2006.55	3.6061
0.075	2010.36	1.73972
0.072	2009.88	2.94299
0.069	2007.02	1.39327
0.066	1996.06	2.45126
0.063	2000.35	1.27778
0.06	1997.72	1.51993
0.057	1967.92	0.096858
0.054	1973.41	-0.286849
0.051	1975.31	0.741336
0.048	1972.21	-0.104309
0.045	1950.03	0.514094
0.042	1913.32	-2.46243
0.039	1891.86	1.80677
0.036	1655.11	-0.197441
0.033	1570.71	0.346454
0.03	1482.97	-1.09524
0.027	1051.43	0.674281
0.024	95.1295	-0.115484
0.021	-1.66894	0.707809
0.018	-3.81473	1.03191
0.015	-5.00682	-2.65987
0.012	1.43052	-0.335278
0.00899999999999998	-2.3842	0.964857
0.00599999999999998	0.715259	0.286849
0.003	5.48366	0.555072
0.0	0.953682	3.14043
-0.003	6.43733	-1.11014
-0.00600000000000001	4.29156	-2.1048
-0.00900000000000001	-6.67575	2.63007
-0.012	-4.52998	0.990934
-0.015	-4.05314	-0.499193
-0.018	-2.3842	0.223518
-0.021	-2.86104	-0.130386
-0.024	1.43052	0.152738
-0.027	1.43052	0.0894074
-0.03	3.57629	0.562522
-0.033	3.33787	0.126661
-0.036	-6.67575	-0.42096
-0.039	1.43052	-0.748787
-0.042	4.05314	-1.42679
-0.045	0.953682	0.0
-0.048	-4.29156	-2.1197
-0.051	-0.476841	0.0298025
-0.054	3.09946	-0.17509
-0.057	2.14578	-1.02819
-0.06	6.67575	-1.34856
-0.063	452.282	1.34856
-0.066	1216.66	0.718985
-0.069	1548.54	-1.09897
-0.072	1674.42	0.249596
-0.075	1850.61	0.894073
-0.078	1922.38	0.961132
-0.081	1969.11	0.0521543
-0.084	1978.65	0.953682
-0.087	1976.5	0.212342
-0.09	1978.41	-0.160188
-0.093	1978.89	1.63914
-0.096	2000.59	3.65825
-0.099	2002.02	1.8552
-0.102	1998.44	2.27989
-0.105	2015.37	2.48106
-0.108	2009.17	4.64919
-0.111	2014.89	2.61144
-0.114	2023.0	8.11002
-0.117	2030.39	13.9364
-0.12	2027.53	18.064
-0.123	2037.3	24.7509
-0.126	2028.48	28.8786
-0.129	2034.2	33.6769
-0.132	2033.01	36.8322
-0.135	2044.69	37.7523
-0.138	2034.68	39.0897
-0.141	2033.01	39.4026
-0.144	2032.77	41.5633
-0.147	2043.74	44.2753
-0.15	2040.16	46.3652
