magnet_bpar	lockin_1_ResX	lockin_2_ResX	lockin_3_ResX	lockin_4_ResX	lockin_5_ResX
-0.25	13556.277752	7019.9020207	295.48660386	173.22072526	68.054744042
-0.24875	13555.715978	7020.2976465	295.34043279	177.4479053	67.785091233
-0.2475	13555.74578	7019.3663239	295.6288401	176.30255315	68.622780964
-0.24625	13555.045426	7019.4281638	295.46751175	173.15478763	68.317609839
-0.245	13554.923236	7019.7917521	295.91727071	173.3802841	69.020513911
-0.24375	13555.534184	7019.5987821	295.42639386	174.2178807	68.224780262
-0.2425	13555.982709	7018.8216865	295.73796783	172.22757451	68.046961678
-0.24125	13556.137681	7019.4207132	295.60946859	172.48617951	68.538181949
-0.24	13554.351032	7018.7412202	295.47559097	175.6467158	68.350380752
-0.23875	13554.45236	7018.6428726	295.67549936	174.22918463	68.33866355
-0.2375	13555.026054	7018.0952549	295.37077062	173.32063289	68.366562482
-0.23625	13555.711508	7018.0766284	295.69463804	173.52660652	67.893590312
-0.235	13555.498421	7018.4648037	295.38620729	172.8401985	68.741320865
-0.23375	13555.473089	7018.7114179	295.36420479	172.88891831	68.656960502
-0.2325	13556.139171	7017.7711546	295.64835131	172.22597962	68.055209704
-0.23125	13555.490971	7018.1645453	295.67515012	173.71438444	68.736518733
-0.23	13555.796444	7017.4328983	295.59137765	173.93003218	68.200234091
-0.22875	13555.48948	7016.6043937	295.49358878	174.39868534	68.371533416
-0.2275	13556.103408	7016.2639022	295.23314442	173.59000631	68.62951559
-0.22625	13555.638492	7014.9540901	295.81307899	172.5953538	68.180455128
-0.225	13556.183875	7015.3966546	295.26257422	172.5459937	68.190920865
-0.22375	13554.990292	7015.8325136	295.59838586	172.75816062	67.583314376
-0.2225	13554.529846	7014.7804916	295.47177255	174.05817052	68.721768912
-0.22125	13555.766642	7014.1755044	295.48697639	174.41258533	68.525678944
-0.22	13555.458188	7013.9802992	295.60541734	174.88284502	68.34793603
-0.21875	13555.417955	7013.0355656	295.80316041	174.75930508	67.98026152
-0.2175	13554.84575	7011.8151605	295.50688341	171.63774464	67.720003426
-0.21625	13554.96496	7010.8890533	295.80488335	173.0657299	67.138834856
-0.215	13555.370271	7010.2833211	295.86597811	172.65456263	67.593163112
