,h_s,xi,q
0,0.21,1.0,0.05025628618840307
1,0.22,1.0,0.03606622140546356
2,0.23,1.0,0.034996479120244
3,0.24000000000000002,1.0,0.035790192867743875
4,0.25,1.0,0.027934515135981195
5,0.26,1.0,0.02675962407175482
6,0.27,1.0,0.022760575397778583
7,0.28,1.0,0.02084456189166052
8,0.29000000000000004,1.0,0.020125518268163223
9,0.30000000000000004,1.0,0.019369964486697342
10,0.31000000000000005,1.0,0.018273972986676684
11,0.32000000000000006,1.0,0.017264057013312458
12,0.33000000000000007,1.0,0.016688420321358328
13,0.3400000000000001,1.0,0.016179792120226612
14,0.21,2.0,0.1032889169255301
15,0.22,2.0,0.08154381664697398
16,0.23,2.0,0.07526283281743733
17,0.24000000000000002,2.0,0.06929157925416005
18,0.25,2.0,0.06045089881664301
19,0.26,2.0,0.053326615682297775
20,0.27,2.0,0.047604811623066415
21,0.28,2.0,0.043109230627291086
22,0.29000000000000004,2.0,0.0393669497603851
23,0.30000000000000004,2.0,0.03616202208334413
24,0.31000000000000005,2.0,0.03339641290336505
25,0.32000000000000006,2.0,0.031174343543647277
26,0.33000000000000007,2.0,0.029397618349442847
27,0.3400000000000001,2.0,0.027873504697781847
28,0.21,3.0,0.1447148321088241
29,0.22,3.0,0.13534658941071795
30,0.23,3.0,0.12302655696970781
31,0.24000000000000002,3.0,0.1065348398644511
32,0.25,3.0,0.0926569380836298
33,0.26,3.0,0.08245497919568048
34,0.27,3.0,0.07442843027974111
35,0.28,3.0,0.0678949582692583
36,0.29000000000000004,3.0,0.06229233380485453
37,0.30000000000000004,3.0,0.05749694198487776
38,0.31000000000000005,3.0,0.05342528152216444
39,0.32000000000000006,3.0,0.04995606633814956
40,0.33000000000000007,3.0,0.04703902159401134
41,0.3400000000000001,3.0,0.044450049146108006
42,0.21,4.0,0.14990588222628148
43,0.22,4.0,0.175805962875663
44,0.23,4.0,0.16520326524450182
45,0.24000000000000002,4.0,0.14942828821487103
46,0.25,4.0,0.1352228089909657
47,0.26,4.0,0.12251128424211541
48,0.27,4.0,0.11167703565663402
49,0.28,4.0,0.10162742205048447
50,0.29000000000000004,4.0,0.09308677357607735
51,0.30000000000000004,4.0,0.08560831429645639
52,0.31000000000000005,4.0,0.0790246050365182
53,0.32000000000000006,4.0,0.07361988362616928
54,0.33000000000000007,4.0,0.06905623183746952
55,0.3400000000000001,4.0,0.06516798203312937
56,0.21,5.0,0.14519387582926538
57,0.22,5.0,0.19637017851281152
58,0.23,5.0,0.20395236035359532
59,0.24000000000000002,5.0,0.19479883246840762
60,0.25,5.0,0.18268320832730378
61,0.26,5.0,0.1678865881701364
62,0.27,5.0,0.1542052305756415
63,0.28,5.0,0.14070329944440935
